N,M,h2,h2_est,h2_diff
-1,-1,0.05,0.0484614068551993,0.001538593144800704
-1,-1,0.05,0.055576591244064166,-0.0055765912440641635
-1,-1,0.05,0.02205179940010722,0.027948200599892784
-1,-1,0.05,0.04776869336649837,0.0022313066335016354
-1,-1,0.05,0.0591580494446541,-0.0091580494446541
-1,-1,0.05,0.05179326165396302,-0.00179326165396302
-1,-1,0.05,0.034618838839175686,0.015381161160824317
-1,-1,0.05,0.04609707111021843,0.0039029288897815748
-1,-1,0.05,0.04124670731893716,0.00875329268106284
-1,-1,0.05,0.05882152098659623,-0.008821520986596228
-1,-1,0.05,0.05698065352091447,-0.006980653520914468
-1,-1,0.05,0.045436539951376156,0.004563460048623846
-1,-1,0.05,0.05129218317824429,-0.0012921831782442897
-1,-1,0.05,0.06046189755299011,-0.01046189755299011
-1,-1,0.05,0.052067122101335184,-0.002067122101335181
-1,-1,0.05,0.04222906151446426,0.007770938485535742
-1,-1,0.05,0.056395779294785245,-0.006395779294785242
-1,-1,0.05,0.04907023811764307,0.0009297618823569317
-1,-1,0.05,0.027868339200681477,0.022131660799318525
-1,-1,0.05,0.02806031362299657,0.021939686377003432
-1,-1,0.05,0.05443951956297662,-0.00443951956297662
-1,-1,0.05,0.04419256088895637,0.00580743911104363
-1,-1,0.05,0.06881331627704347,-0.018813316277043468
-1,-1,0.05,0.04079188105919427,0.009208118940805733
-1,-1,0.05,0.04884616225837074,0.0011538377416292628
-1,-1,0.05,0.05748311943052097,-0.0074831194305209695
-1,-1,0.05,0.04254617657291019,0.007453823427089813
-1,-1,0.05,0.0497601482749276,0.00023985172507240415
-1,-1,0.05,0.040535876594343344,0.009464123405656659
-1,-1,0.05,0.041133164078803824,0.008866835921196178
-1,-1,0.05,0.054859278203601376,-0.0048592782036013735
-1,-1,0.05,0.04819121112364904,0.0018087888763509627
-1,-1,0.05,0.06452887387398973,-0.014528873873989726
-1,-1,0.05,0.052978405944526734,-0.002978405944526731
-1,-1,0.05,0.03821730914873866,0.011782690851261345
-1,-1,0.05,0.053590045415973,-0.003590045415972999
-1,-1,0.05,0.04996445723409063,3.5542765909370166e-05
-1,-1,0.05,0.04851908052367464,0.0014809194763253652
-1,-1,0.05,0.04056992140863581,0.009430078591364195
-1,-1,0.05,0.027746685244133974,0.02225331475586603
-1,-1,0.05,0.05634923398103941,-0.006349233981039405
-1,-1,0.05,0.05411549064751232,-0.004115490647512314
-1,-1,0.05,0.048851970112729015,0.0011480298872709876
-1,-1,0.05,0.03538298814149578,0.014617011858504225
-1,-1,0.05,0.06263491311704185,-0.012634913117041846
-1,-1,0.05,0.03131590293531177,0.01868409706468823
-1,-1,0.05,0.044916223760135314,0.005083776239864689
-1,-1,0.05,0.03552619024163846,0.014473809758361544
-1,-1,0.05,0.06128726116283065,-0.011287261162830645
-1,-1,0.05,0.05220920387094997,-0.002209203870949965
-1,-1,0.05,0.0556586604574129,-0.005658660457412895
-1,-1,0.05,0.05519727828364846,-0.0051972782836484585
-1,-1,0.05,0.04110605678794628,0.008893943212053723
-1,-1,0.05,0.04719487907955094,0.0028051209204490654
-1,-1,0.1,0.07170344176795143,0.028296558232048574
-1,-1,0.1,0.096809575603626,0.0031904243963740003
-1,-1,0.1,0.09903996007534753,0.0009600399246524755
-1,-1,0.1,0.07432591727354447,0.025674082726455535
-1,-1,0.1,0.1050047804273777,-0.005004780427377689
-1,-1,0.1,0.13526497477061541,-0.03526497477061541
-1,-1,0.1,0.09801299863922602,0.0019870013607739823
-1,-1,0.1,0.10910897112737782,-0.00910897112737781
-1,-1,0.1,0.08903296635308482,0.010967033646915189
-1,-1,0.1,0.10718003145823818,-0.007180031458238173
-1,-1,0.1,0.10510467479193573,-0.005104674791935729
-1,-1,0.1,0.11182958334332993,-0.011829583343329925
-1,-1,0.1,0.10364987205076408,-0.003649872050764072
-1,-1,0.1,0.07699636214255742,0.023003637857442583
-1,-1,0.1,0.10239658287788131,-0.0023965828778813036
-1,-1,0.1,0.11655791128111997,-0.01655791128111997
-1,-1,0.1,0.08439128255868628,0.01560871744131373
-1,-1,0.1,0.1057589898901084,-0.005758989890108396
-1,-1,0.1,0.08774377335283397,0.012256226647166038
-1,-1,0.1,0.12185285076961781,-0.021852850769617807
-1,-1,0.1,0.10035263832988527,-0.00035263832988526034
-1,-1,0.1,0.12667450379849396,-0.026674503798493954
-1,-1,0.1,0.06451755637967253,0.03548244362032747
-1,-1,0.1,0.10294936909381089,-0.002949369093810883
-1,-1,0.1,0.09276664945801659,0.007233350541983416
-1,-1,0.1,0.09906784827150675,0.0009321517284932579
-1,-1,0.1,0.08337786151103622,0.01662213848896378
-1,-1,0.1,0.11316495122878484,-0.013164951228784832
-1,-1,0.1,0.07963072240130707,0.020369277598692934
-1,-1,0.1,0.09734645434469243,0.0026535456553075792
-1,-1,0.1,0.14659475569469493,-0.04659475569469493
-1,-1,0.1,0.09694081117091802,0.003059188829081988
-1,-1,0.1,0.10330777942156348,-0.0033077794215634754
-1,-1,0.1,0.13363576354733833,-0.033635763547338327
-1,-1,0.1,0.10722190411038907,-0.00722190411038906
-1,-1,0.1,0.07954373435130425,0.02045626564869575
-1,-1,0.1,0.06414136250756262,0.03585863749243738
-1,-1,0.1,0.08200305952126145,0.017996940478738552
-1,-1,0.1,0.09827853802242363,0.0017214619775763745
-1,-1,0.1,0.12655009947721121,-0.02655009947721121
-1,-1,0.1,0.10376025054826306,-0.0037602505482630527
-1,-1,0.1,0.07919664967882588,0.020803350321174127
-1,-1,0.1,0.12411785352653194,-0.024117853526531938
-1,-1,0.1,0.08499205241532795,0.015007947584672054
-1,-1,0.1,0.07021199128989626,0.029788008710103744
-1,-1,0.1,0.10614381267501524,-0.006143812675015237
-1,-1,0.1,0.09909016386057744,0.0009098361394225679
-1,-1,0.1,0.10966915283187229,-0.00966915283187228
-1,-1,0.1,0.04564844791542835,0.05435155208457165
-1,-1,0.1,0.09779771896249558,0.0022022810375044305
-1,-1,0.1,0.11617873798313463,-0.016178737983134628
-1,-1,0.1,0.10250577935580717,-0.002505779355807161
-1,-1,0.1,0.06995131071673209,0.030048689283267913
